ids,names
810,Vizela
212,FC Porto
227,Santa Clara
222,Boavista
242,Famalicao
211,Benfica
223,Chaves
224,Guimaraes
217,SC Braga
4716,Casa Pia
230,Estoril
216,Portimonense
226,Rio Ave
228,Sporting CP
214,Maritimo
240,Arouca
762,GIL Vicente
234,Pacos Ferreira
