match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
881780,4,2,489,14,5,9,494,9,4,5,1,0,1,0,5,4,1.887778,0.69023,2.1525,0.5635,3,0
881781,0,2,498,11,1,6,499,9,3,6,0,0,0,0,5,3,0.840029,0.722499,1.4395,1.153,0,3
881782,1,2,867,10,4,5,505,19,9,11,0,0,0,0,5,8,0.7489950000000001,1.4714939999999999,0.8734999999999999,1.93,0,3
881783,1,2,1579,15,4,5,503,13,6,12,0,0,0,0,10,1,1.04282,1.151173,1.2994999999999999,1.396,0,3
881784,3,2,502,28,11,21,520,13,4,9,0,0,0,0,7,4,2.3230690000000003,1.0543660000000001,2.2065,0.675,3,0
881785,2,1,487,9,6,4,500,11,3,5,0,1,0,1,5,6,0.657961,1.582407,0.6645,2.032,3,0
881786,0,1,514,13,2,4,497,20,5,14,0,0,0,0,9,6,0.893021,1.627066,0.822,1.905,0,3
881787,1,0,515,9,2,4,511,18,5,9,0,0,0,0,5,9,0.657961,1.348191,0.803,1.9355,3,0
881788,2,5,504,6,3,5,492,25,8,20,0,0,0,0,1,5,0.513935,2.1145050000000003,0.401,2.399,0,3
881789,3,0,496,14,4,11,488,19,7,5,1,0,1,0,3,14,1.9523159999999997,1.27788,1.829,0.98,3,0
881790,0,0,503,10,1,6,487,7,2,5,0,0,0,0,4,2,0.781264,0.5727,1.4895,1.096,1,1
881791,0,0,494,15,2,10,514,17,6,11,0,0,0,0,5,6,1.2041650000000002,1.353964,1.2510000000000001,1.4940000000000002,1,1
881792,3,0,505,19,8,14,515,2,0,2,0,0,0,0,5,0,1.568301,0.182068,2.4179999999999997,0.348,3,0
881793,1,0,488,12,3,5,867,7,1,4,0,0,0,0,7,3,0.866525,0.540431,1.6065,1.0405,3,0
881794,0,0,511,4,2,3,502,19,2,11,0,0,0,0,1,8,0.331867,1.4714939999999999,0.48450000000000004,2.2715,1,1
881795,4,0,492,22,5,15,1579,4,1,1,0,0,0,0,7,3,1.776865,0.267329,2.421,0.3655,3,0
881796,1,1,499,11,2,5,489,18,7,9,0,0,0,0,6,9,0.80776,1.348191,0.9655,1.776,1,1
881797,1,1,500,17,5,7,504,19,3,10,0,0,0,0,10,9,1.224888,1.439225,1.201,1.5345,1,1
881798,1,0,497,27,12,17,520,14,3,3,0,0,0,0,10,11,2.135228,0.9195169999999999,2.09,0.6925,3,0
881799,0,0,498,9,1,6,496,10,4,6,0,0,0,0,3,4,0.722499,0.781264,1.2825,1.3745,1,1
881800,1,2,1579,10,5,9,494,15,4,12,0,0,0,0,1,3,0.878071,1.268703,1.0310000000000001,1.654,0,3
881801,3,1,487,11,7,10,505,19,7,13,0,0,0,0,1,6,0.969105,1.536032,0.9615,1.7759999999999998,3,0
881802,1,2,520,16,6,11,503,14,5,11,0,0,0,0,5,3,1.295199,1.1776689999999999,1.4875,1.266,0,3
881803,1,1,496,14,3,4,497,8,4,5,0,0,0,0,10,3,0.951786,0.6314649999999999,1.5875,1.0314999999999999,1,1
881804,2,0,489,19,7,14,500,8,0,2,0,0,0,0,5,6,1.568301,0.534658,2.118,0.5625,3,0
881805,2,2,515,7,2,6,488,21,8,17,1,0,1,0,1,4,1.379616,1.7826380000000002,1.119,1.6235,1,1
881806,0,1,504,14,2,4,499,15,7,11,0,0,0,0,10,4,0.951786,1.236434,1.1235,1.6005,0,3
881807,4,0,514,9,6,7,498,17,6,16,0,0,0,0,2,1,0.754768,1.515309,0.856,1.9469999999999998,3,0
881808,0,0,502,10,5,6,492,13,2,10,0,0,0,0,4,3,0.781264,1.086635,1.0925,1.6065,1,1
881809,1,1,867,15,5,10,511,9,3,4,0,0,0,0,5,5,1.2041650000000002,0.657961,1.771,0.8715,1,1
881810,0,0,488,8,3,4,489,11,2,7,0,0,1,0,4,4,1.373843,0.872298,1.7169999999999999,1.0005000000000002,1,1
881811,3,1,505,18,7,15,520,11,4,8,0,0,0,0,3,3,1.541805,0.904567,1.822,0.881,3,0
881812,3,0,497,15,8,13,1579,13,1,9,0,0,0,0,2,4,1.300972,1.0543660000000001,1.5595,1.1035,3,0
881813,1,1,511,16,4,7,504,9,3,8,0,0,0,0,9,1,1.1661229999999998,0.787037,1.594,1.072,1,1
881814,1,1,498,10,3,6,487,13,6,8,0,0,0,0,4,5,0.781264,1.022097,1.1345,1.49,1,1
881815,1,0,494,8,3,6,502,12,2,8,0,0,0,0,2,4,0.663734,0.9633320000000001,1.0685,1.5895000000000001,3,0
881816,2,0,496,15,3,10,515,9,0,2,0,0,0,0,5,7,1.2041650000000002,0.593423,1.808,0.8335,3,0
881817,1,1,492,19,7,11,867,9,4,3,0,0,0,1,8,6,1.4714939999999999,1.4003389999999998,1.427,1.3185,1,1
881818,3,1,499,12,5,9,503,8,2,5,2,0,2,0,3,3,2.544895,0.6314649999999999,2.5380000000000003,0.3685,3,0
881819,1,1,500,11,4,8,514,20,4,13,1,0,1,0,3,7,1.679214,1.594797,1.4405000000000001,1.3155000000000001,1,1
881820,1,1,502,17,5,12,496,4,1,3,0,0,1,0,5,1,2.16088,0.331867,2.592,0.2685,1,1
881821,3,2,489,21,5,13,505,16,5,9,0,0,0,0,8,7,1.653562,1.230661,1.6955,1.068,3,0
881822,1,2,487,8,2,2,492,19,7,15,0,0,0,0,6,4,0.534658,1.60057,0.6175,2.1285,0,3
881823,0,0,520,10,0,5,488,17,7,15,0,0,0,0,5,2,0.7489950000000001,1.48304,0.8955,1.879,1,1
881824,2,2,515,15,5,10,500,13,6,4,0,0,0,0,5,9,1.2041650000000002,0.893021,1.624,1.1275,1,1
881825,2,1,504,17,9,13,498,11,3,7,0,0,0,0,4,4,1.4185020000000002,0.872298,1.7565,0.9690000000000001,3,0
881826,4,0,494,11,5,6,497,12,2,10,0,0,0,0,5,2,0.840029,1.02787,1.2525,1.53,3,0
881827,0,2,1579,10,3,5,499,13,6,9,0,0,0,0,5,4,0.7489950000000001,1.0543660000000001,1.1145,1.607,0,3
881828,2,2,514,15,4,7,511,11,5,7,0,0,0,0,8,4,1.107358,0.872298,1.528,1.1625,1,1
881829,1,0,503,13,4,8,867,9,2,8,0,0,0,0,5,1,1.022097,0.787037,1.5035,1.149,3,0
881830,1,1,499,14,6,5,520,7,4,4,0,0,0,0,9,3,0.9840549999999999,0.540431,1.6649999999999998,0.94,1,1
881831,2,1,500,12,4,7,502,13,2,8,0,0,0,0,5,5,0.931063,1.022097,1.2690000000000001,1.4189999999999998,3,0
881832,1,2,511,20,3,11,497,13,7,11,0,0,0,1,9,2,1.530259,1.893551,1.1915,1.64,0,3
881833,1,0,505,16,3,7,503,9,7,6,0,0,0,0,9,3,1.1661229999999998,0.722499,1.677,1.006,3,0
881834,2,2,496,23,8,16,514,11,5,4,0,1,1,1,7,7,2.642546,1.550138,2.0275,0.7865,1,1
881835,2,0,487,15,6,10,504,7,1,5,0,0,0,0,5,2,1.2041650000000002,0.5727,1.8785,0.8225,3,0
881836,1,1,867,7,3,4,1579,2,1,1,0,0,0,0,3,1,0.540431,0.14979900000000002,1.6229999999999998,0.7975,1,1
881837,1,0,492,28,6,18,515,10,1,7,0,0,0,0,10,3,2.226262,0.813533,2.279,0.5635,3,0
881838,1,2,498,10,4,6,489,15,4,12,0,1,0,1,4,3,0.781264,2.0433499999999998,0.5885,2.1555,0,3
881839,1,3,488,5,2,4,494,17,4,9,0,0,0,0,1,8,0.422901,1.2894260000000002,0.6419999999999999,2.0155,0,3
881840,0,1,500,16,3,7,511,12,5,9,0,0,0,0,9,3,1.1661229999999998,0.9956010000000001,1.4735,1.2265,0,3
881841,0,4,520,18,4,11,487,14,6,14,0,1,0,1,7,0,1.412729,2.049123,0.9954999999999999,1.728,0,3
881842,2,0,502,15,10,8,504,8,1,6,0,0,1,0,7,2,1.9142739999999998,0.663734,2.2365,0.5695,3,0
881843,1,2,489,22,5,17,492,9,4,5,0,1,0,1,5,4,1.8414030000000001,1.464877,1.6300000000000001,1.168,0,3
881844,1,0,1579,17,4,9,496,10,2,9,0,0,0,0,8,1,1.2894260000000002,0.878071,1.6149999999999998,1.0505,3,0
881845,0,1,497,21,5,13,499,4,1,1,0,0,0,0,8,3,1.653562,0.267329,2.391,0.40149999999999997,0,3
881846,1,2,514,8,4,7,867,13,4,4,0,0,0,0,1,9,0.6960029999999999,0.893021,1.1275,1.493,0,3
881847,2,1,515,6,3,4,498,11,8,6,0,0,0,0,2,5,0.48166600000000004,0.840029,1.005,1.63,3,0
881848,0,1,503,12,3,7,488,10,5,6,0,0,0,0,5,4,0.931063,0.781264,1.451,1.22,0,3
881849,3,1,494,20,6,11,505,16,4,8,0,0,0,0,9,8,1.530259,1.1983920000000001,1.6255,1.178,3,0
881850,1,0,499,10,5,8,502,16,5,10,0,0,0,0,2,6,0.845802,1.2629299999999999,1.0705,1.7025,3,0
881851,1,3,511,16,4,11,489,19,6,10,0,0,0,0,5,9,1.295199,1.439225,1.2715,1.4729999999999999,0,3
881852,1,2,504,7,2,4,494,21,8,11,0,0,0,0,3,10,0.540431,1.589024,0.618,2.101,0,3
881853,1,2,505,15,2,6,497,10,3,6,0,0,0,0,9,4,1.075089,0.781264,1.5334999999999999,1.1139999999999999,0,3
881854,3,0,496,17,6,14,500,9,1,6,0,0,0,0,3,3,1.450771,0.722499,1.8955000000000002,0.7805,3,0
881855,4,0,487,13,6,12,515,14,2,7,0,0,1,0,1,7,1.9258199999999999,1.0485929999999999,1.9809999999999999,0.8190000000000001,3,0
881856,1,1,867,6,1,3,520,13,4,10,1,1,1,1,3,3,1.224044,1.861282,0.9500000000000001,1.7759999999999998,1,1
881857,3,1,492,15,7,11,503,16,3,11,0,0,0,0,4,5,1.236434,1.295199,1.2845,1.452,3,0
881858,0,3,498,3,1,0,1579,13,6,6,0,0,0,0,3,7,0.17629499999999998,0.957559,0.5775,1.9895,0,3
881859,5,0,488,17,11,12,514,6,1,3,1,0,1,0,5,3,2.16088,0.449397,2.445,0.353,3,0
881860,1,1,500,10,3,6,498,9,3,4,0,0,0,0,4,5,0.781264,0.657961,1.4285,1.167,1,1
881861,1,4,520,12,1,5,492,21,10,13,0,1,0,1,7,8,0.866525,2.428209,0.5115000000000001,2.271,0,3
881862,0,4,502,25,3,18,487,10,6,8,0,0,0,0,7,2,2.049967,0.845802,2.1475,0.6054999999999999,0,3
881863,2,0,489,21,3,14,496,10,3,8,0,0,0,0,7,2,1.6858309999999999,0.845802,1.9845,0.7689999999999999,3,0
