ids,names
727,Osasuna
532,Valencia
540,Espanyol
529,Barcelona
548,Real Sociedad
530,Atletico Madrid
538,Celta Vigo
715,Granada CF
543,Real Betis
541,Real Madrid
724,Cadiz
533,Villarreal
798,Mallorca
531,Athletic Club
797,Elche
546,Getafe
728,Rayo Vallecano
536,Sevilla
539,Levante
542,Alaves
