match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
871470,1,2,95,11,7,7,91,24,11,17,0,0,0,0,4,7,0.9616609999999999,2.192064,0.6985,2.1435,0,3
871471,0,1,94,21,6,15,97,8,2,3,0,0,0,0,6,5,1.9248509999999999,0.585728,2.231,0.524,0,3
871472,0,5,99,7,1,1,85,18,12,15,0,0,0,0,6,3,0.42417699999999997,1.7663579999999999,0.4425,2.3945,0,3
871473,1,1,96,6,4,6,84,11,4,7,0,0,0,0,0,4,0.643146,0.9616609999999999,1.04,1.5885000000000002,1,1
871474,2,1,80,11,6,6,98,8,4,6,1,1,1,1,5,2,1.78535,1.626857,1.4794999999999998,1.2905,3,0
871475,4,1,79,16,6,7,108,10,2,9,0,0,0,0,9,1,1.225816,1.01755,1.582,1.2195,3,0
871476,0,0,77,16,6,10,83,14,4,10,0,0,0,0,6,4,1.388896,1.283234,1.4625,1.2725,1,1
871477,3,2,82,17,6,8,110,16,10,11,0,1,0,1,9,5,1.333007,2.3213049999999997,0.7955,1.994,3,0
871478,4,1,81,16,6,12,93,16,6,9,0,0,0,0,4,7,1.497616,1.334536,1.497,1.3255,3,0
871479,3,2,116,16,7,16,106,6,4,4,0,1,1,1,0,2,2.593105,1.412475,2.0455,0.774,3,0
871480,0,0,98,9,2,6,116,12,3,7,0,0,0,0,3,5,0.801639,1.014492,1.2095,1.4795,1,1
871481,2,2,108,11,4,3,77,11,2,8,0,0,0,0,8,3,0.744221,1.0160209999999998,1.14,1.5474999999999999,1,1
871482,1,1,91,12,4,9,94,24,8,13,0,0,1,0,3,11,2.001261,1.974624,1.407,1.3895000000000002,1,1
871483,3,1,97,11,6,6,80,15,7,12,0,0,0,0,5,3,0.907301,1.444785,0.9855,1.7494999999999998,3,0
871484,1,1,83,10,1,5,79,16,5,15,0,0,0,0,5,1,0.80011,1.660696,0.7915000000000001,1.9875,1,1
871485,1,1,84,13,3,5,95,9,5,6,1,0,1,0,8,3,1.836652,0.801639,2.0749999999999997,0.7284999999999999,1,1
871486,5,2,85,20,10,13,82,7,4,4,1,0,2,0,7,3,3.519398,0.5872569999999999,2.766,0.167,3,0
871487,1,1,106,17,5,10,81,5,2,4,0,0,0,0,7,1,1.441727,0.481595,2.084,0.6305000000000001,1,1
871488,2,4,93,9,6,7,99,10,5,4,2,1,2,1,2,6,2.612097,1.623799,1.9304999999999999,0.845,0,3
871489,0,3,110,12,2,9,96,10,4,6,0,0,0,0,3,4,1.123212,0.8544700000000001,1.576,1.1225,0,3
871490,1,4,91,12,5,7,116,14,6,12,0,1,0,1,5,2,1.014492,2.270003,0.661,2.186,0,3
871491,1,3,77,7,5,5,106,11,7,10,0,0,0,0,2,1,0.641617,1.124741,0.9784999999999999,1.7425000000000002,0,3
871492,1,0,99,7,2,4,84,13,4,9,0,0,0,0,3,4,0.5872569999999999,1.176043,0.867,1.8165,3,0
871493,1,7,79,16,10,11,85,16,9,14,0,0,0,0,5,2,1.4432559999999999,1.6063359999999998,1.2365,1.4765000000000001,0,3
871494,1,2,82,13,7,9,108,7,2,3,0,1,0,1,4,4,1.176043,1.410946,1.1915,1.4985000000000002,0,3
871495,4,1,80,16,8,15,110,4,1,3,0,1,0,1,1,1,1.660696,1.252453,1.6255,1.085,3,0
871496,2,1,81,16,5,12,83,12,3,8,0,1,0,1,4,4,1.497616,1.946901,1.0675,1.621,3,0
871497,1,1,95,12,3,8,93,12,6,9,0,0,0,0,4,3,1.068852,1.123212,1.3305,1.423,1,1
871498,2,1,94,16,7,9,98,10,3,6,0,0,0,1,7,4,1.334536,1.732519,1.1495,1.6019999999999999,3,0
871499,2,2,96,16,8,12,97,14,4,9,0,1,0,2,4,5,1.497616,2.984972,0.6165,2.1925,1,1
871500,1,3,98,14,2,9,79,7,4,5,0,0,0,1,5,2,1.228874,1.519666,1.165,1.5410000000000001,0,3
871501,1,0,108,7,3,3,95,14,4,9,0,0,0,0,4,5,0.532897,1.228874,0.828,1.9295,3,0
871502,2,1,97,22,9,15,99,9,2,6,1,0,1,0,7,3,2.855731,0.801639,2.5385,0.35350000000000004,3,0
871503,3,1,83,16,8,13,96,9,3,9,0,0,0,0,3,0,1.551976,0.964719,1.7870000000000001,0.949,3,0
871504,0,3,84,16,2,8,81,13,4,10,0,0,0,0,8,3,1.280176,1.230403,1.4295,1.326,0,3
871505,1,1,85,18,5,10,91,4,3,1,1,0,1,0,8,3,2.372607,0.265684,2.6645,0.202,1,1
871506,2,1,116,17,4,7,94,12,6,9,0,0,0,0,10,3,1.2786469999999999,1.123212,1.516,1.2650000000000001,3,0
871507,0,7,106,6,0,4,82,14,8,13,0,0,0,0,2,1,0.534426,1.446314,0.6725,2.0585,0,3
871508,1,1,93,8,5,4,80,18,5,8,0,0,0,0,4,10,0.640088,1.3858380000000001,0.781,1.9064999999999999,1,1
871509,3,1,110,25,11,10,77,7,2,4,0,0,0,0,15,3,1.864375,0.5872569999999999,2.25,0.5435,3,0
871510,2,4,91,8,6,8,110,19,11,13,0,1,0,1,0,6,0.857528,2.588518,0.47050000000000003,2.3594999999999997,0,3
871511,2,4,77,10,3,6,93,11,5,7,1,1,1,1,4,4,1.732519,1.8397099999999997,1.3135000000000001,1.487,0,3
871512,1,2,79,18,6,10,84,3,2,2,0,2,0,2,8,1,1.494558,2.023311,1.1095,1.749,0,3
871513,2,0,82,9,4,7,98,15,0,11,0,0,0,0,2,4,0.855999,1.390425,0.976,1.7870000000000001,3,0
871514,2,1,80,20,8,12,108,6,2,5,0,0,0,0,8,1,1.7089400000000001,0.5887859999999999,2.1525,0.613,3,0
871515,1,0,81,21,7,15,99,3,0,1,0,0,1,0,6,2,2.8028999999999997,0.21285300000000001,2.8145,0.1235,3,0
871516,5,2,116,15,8,13,97,11,3,7,0,0,0,0,2,4,1.499145,0.9616609999999999,1.7560000000000002,1.0005,3,0
871517,1,1,95,5,2,1,83,12,3,6,0,0,0,0,4,6,0.318515,0.960132,0.7135,1.8485,1,1
871518,3,1,94,16,9,11,106,7,2,3,0,0,0,0,5,4,1.4432559999999999,0.532897,2.0675,0.7055,3,0
871519,0,3,96,14,7,7,85,20,13,16,0,0,0,0,7,4,1.1201539999999999,1.92638,0.8415,1.9204999999999999,0,3
