ids,names
82,Montpellier
94,Rennes
80,Lyon
93,Reims
98,Ajaccio
106,Stade Brestois 29
84,Nice
85,Paris Saint Germain
99,Clermont Foot
96,Toulouse
91,Monaco
77,Angers
110,Estac Troyes
95,Strasbourg
116,Lens
79,Lille
108,Auxerre
83,Nantes
97,Lorient
81,Marseille
