ids,names
210,Heerenveen
209,Feyenoord
198,ADO Den Haag
203,NAC Breda
422,FC Eindhoven
414,Roda
201,AZ Alkmaar
410,GO Ahead Eagles
193,PEC Zwolle
197,PSV Eindhoven
196,Excelsior
206,Heracles
195,Willem II
202,Groningen
194,Ajax
426,Sparta Rotterdam
205,Fortuna Sittard
207,Utrecht
417,Waalwijk
199,De Graafschap
420,Cambuur
413,NEC Nijmegen
415,Twente
200,Vitesse
