ids,names
540,Espanyol
727,Osasuna
797,Elche
720,Valladolid
548,Real Sociedad
547,Girona
530,Atletico Madrid
538,Celta Vigo
536,Sevilla
529,Barcelona
728,Rayo Vallecano
532,Valencia
531,Athletic Club
541,Real Madrid
533,Villarreal
723,Almeria
546,Getafe
724,Cadiz
798,Mallorca
543,Real Betis
