match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
862701,1,1,196,14,5,7,198,11,3,8,0,0,0,0,7,3,1.099763,0.959357,1.482,1.2775,1,1
862702,4,4,198,19,8,13,196,20,11,14,0,0,0,0,6,6,1.625896,1.723502,1.287,1.4315,1,1
707179,0,1,410,11,3,7,210,18,5,9,0,0,0,0,4,9,0.921254,1.413981,1.022,1.6804999999999999,0,3
707180,1,0,417,7,2,6,201,19,5,11,0,0,0,0,1,8,0.645139,1.54969,0.7215,2.0604999999999998,3,0
707181,0,2,206,6,2,2,197,19,6,14,0,0,0,0,4,5,0.433224,1.663999,0.5005,2.2944999999999998,0,3
707182,2,1,205,6,4,5,415,13,1,9,0,0,0,0,1,4,0.5475329999999999,1.116466,0.8360000000000001,1.851,3,0
707183,5,0,194,25,9,18,413,7,1,4,0,0,0,0,7,3,2.173429,0.568933,2.3765,0.412,3,0
707184,1,2,420,6,3,2,202,11,7,10,0,0,0,0,4,1,0.433224,1.035563,0.7765,1.8624999999999998,0,3
707185,0,1,193,15,5,11,200,14,6,6,0,0,0,0,4,8,1.3116780000000001,1.06166,1.5684999999999998,1.153,0,3
707186,4,0,207,22,8,12,426,7,1,5,1,0,1,0,10,2,2.581428,0.6070359999999999,2.513,0.2965,3,0
707187,0,4,195,6,3,3,209,21,9,13,0,0,0,0,3,8,0.47132700000000005,1.744902,0.475,2.3339999999999996,0,3
707188,2,0,413,8,3,6,193,17,1,13,0,0,0,0,2,4,0.704642,1.5068899999999998,0.8165,2.014,3,0
707189,3,2,210,11,4,7,417,16,3,10,1,0,1,0,4,6,1.73638,1.333078,1.6645,1.113,3,0
707190,4,1,197,25,8,17,420,8,4,3,0,0,0,0,8,5,2.135326,0.590333,2.374,0.49,3,0
707191,1,1,426,11,4,6,206,12,4,5,0,0,0,0,5,7,0.883151,0.904551,1.3265,1.3664999999999998,1,1
707192,0,0,202,14,3,7,207,5,0,4,0,0,0,0,7,1,1.099763,0.44992699999999997,1.8465,0.7925,1,1
707193,1,1,415,13,3,6,194,9,3,7,0,0,0,0,7,2,1.002157,0.8022480000000001,1.5225,1.146,1,1
707194,2,0,209,29,9,18,410,9,3,7,0,0,0,0,11,2,2.411441,0.8022480000000001,2.349,0.49150000000000005,3,0
707195,0,3,200,17,6,7,195,13,4,5,0,0,0,0,10,8,1.2782719999999999,0.964054,1.5975000000000001,1.133,0,3
707196,2,1,201,19,7,15,205,7,2,4,0,0,0,0,4,3,1.702102,0.568933,2.173,0.5865,3,0
707197,2,2,205,11,2,7,417,15,5,12,0,0,0,0,4,3,0.921254,1.3497810000000001,1.0275,1.6835,1,1
707198,2,0,420,24,6,14,415,10,2,5,0,0,0,0,10,5,1.961514,0.7855449999999999,2.145,0.625,3,0
707199,2,0,410,19,7,10,426,13,1,6,1,0,1,0,9,7,2.326713,1.002157,2.2030000000000003,0.6355,3,0
707200,5,2,197,16,8,13,202,14,4,8,0,0,0,0,3,6,1.447387,1.137866,1.606,1.1595,3,0
707201,1,0,195,16,3,9,193,11,4,6,0,0,0,0,7,5,1.294975,0.883151,1.6195,1.0975000000000001,3,0
