ids,names
202,Groningen
417,Waalwijk
208,Emmen
426,Sparta Rotterdam
196,Excelsior
200,Vitesse
415,Twente
209,Feyenoord
205,Fortuna Sittard
210,Heerenveen
410,GO Ahead Eagles
197,PSV Eindhoven
416,FC Volendam
207,Utrecht
201,AZ Alkmaar
413,NEC Nijmegen
420,Cambuur
194,Ajax
