ids,names
168,Bayer Leverkusen
160,SC Freiburg
159,Hertha Berlin
192,FC Koln
178,SpVgg Greuther Furth
165,Borussia Dortmund
164,FSV Mainz 05
173,RB Leipzig
169,Eintracht Frankfurt
170,FC Augsburg
182,Union Berlin
161,VfL Wolfsburg
175,Hamburger SV
188,Arminia Bielefeld
176,VfL BOCHUM
172,VfB Stuttgart
163,Borussia Monchengladbach
157,Bayern Munich
167,1899 Hoffenheim
