match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
898604,0,1,226,7,0,1,810,12,7,10,0,0,0,0,6,2,0.432795,0.984656,0.8335,1.843,0,3
898605,4,0,211,22,6,13,240,3,2,1,0,0,0,0,9,2,1.648968,0.20222299999999999,2.454,0.32999999999999996,3,0
898606,0,1,216,18,8,12,222,10,5,6,0,0,0,0,6,4,1.389102,0.752194,1.876,0.8975,0,3
898607,1,0,762,17,5,6,234,12,5,7,0,0,0,0,11,5,1.1556950000000001,0.896774,1.6035,1.1435,3,0
898608,2,0,230,10,5,4,242,15,5,7,0,0,0,1,6,8,0.693606,1.864096,0.614,2.186,3,0
898609,3,3,217,15,7,9,228,11,4,4,0,0,0,0,6,7,1.128291,0.7512490000000001,1.628,1.0474999999999999,1,1
898610,0,0,227,7,3,2,4716,11,3,7,0,0,0,1,5,4,0.46208899999999997,1.633524,0.5195,2.2275,1,1
898611,0,1,223,14,2,8,224,15,6,8,0,0,0,0,6,7,1.0413540000000001,1.098997,1.3175000000000001,1.3275,0,3
898612,5,1,212,22,7,15,214,9,3,7,0,0,0,0,7,2,1.7075559999999999,0.723845,2.0404999999999998,0.707,3,0
898613,1,0,224,9,3,5,230,7,4,5,0,0,0,0,4,2,0.665257,0.549971,1.4515,1.177,3,0
898614,0,1,810,4,1,1,212,13,4,8,0,0,0,0,3,5,0.259866,0.983711,0.6785,1.9985,0,3
898615,3,0,228,20,6,11,226,3,1,1,0,0,0,0,9,2,1.475094,0.20222299999999999,2.374,0.38349999999999995,3,0
898616,1,2,214,13,6,9,223,21,7,9,0,0,0,1,4,12,1.0130050000000002,2.268542,0.6385000000000001,2.2045,0,3
898617,0,3,242,11,5,5,217,24,9,17,0,0,0,0,6,7,0.780543,1.88143,0.6395,2.104,0,3
898618,2,1,222,16,5,11,227,3,1,3,0,0,1,0,5,0,2.038915,0.260811,2.5845000000000002,0.28800000000000003,3,0
898619,0,3,234,14,4,3,216,13,3,6,0,0,0,0,11,7,0.894884,0.925123,1.3239999999999998,1.3395,0,3
898620,0,1,4716,7,2,4,211,15,4,8,0,0,0,0,3,7,0.5206770000000001,1.098997,0.8355,1.8185,0,3
898621,1,0,240,7,3,2,762,11,2,8,0,0,0,0,5,3,0.46208899999999997,0.868425,0.9205,1.668,3,0
898622,2,0,4716,6,4,6,222,11,4,5,0,0,0,0,0,6,0.521622,0.780543,1.108,1.524,3,0
898623,0,0,762,15,5,10,242,10,2,3,0,0,0,0,5,7,1.157585,0.664312,1.746,0.9365,1,1
898624,2,1,216,15,5,8,224,17,6,12,0,0,0,0,7,5,1.098997,1.3314590000000002,1.165,1.541,3,0
898625,1,2,227,12,3,7,240,10,4,6,0,1,0,1,5,4,0.896774,1.5465870000000002,0.918,1.807,0,3
898626,3,0,212,11,5,9,228,8,4,6,2,0,2,0,2,2,2.486505,0.636908,2.4604999999999997,0.375,3,0
898627,5,0,217,20,9,15,214,7,1,4,0,0,0,0,5,3,1.59227,0.5206770000000001,2.168,0.605,3,0
898628,1,1,223,18,3,8,810,17,4,8,0,0,0,0,10,9,1.2719260000000001,1.214283,1.4264999999999999,1.2985,1,1
898629,2,2,230,9,4,7,226,17,7,9,0,0,0,0,2,8,0.723845,1.2435770000000002,0.8665,1.7265000000000001,1,1
898630,3,2,211,27,6,19,234,3,2,2,1,0,1,0,8,1,2.90734,0.231517,2.7995,0.1275,3,0
898631,0,3,234,10,4,5,230,11,7,8,0,0,0,0,5,3,0.7229,0.868425,1.247,1.4805000000000001,0,3
898632,2,2,810,18,9,11,762,12,4,8,0,1,0,1,7,4,1.3598080000000001,1.720461,1.1435,1.658,1,1
898633,3,1,226,6,4,4,212,27,10,18,0,0,0,1,2,9,0.463034,2.878046,0.20500000000000002,2.682,3,0
898634,0,2,228,22,10,14,223,8,5,4,0,0,0,0,8,4,1.678262,0.57832,2.1625,0.6014999999999999,0,3
898635,0,1,224,15,2,11,4716,8,2,6,0,0,0,0,4,2,1.186879,0.636908,1.772,0.915,0,3
898636,0,1,214,19,4,10,216,9,7,8,0,0,0,0,9,1,1.388157,0.753139,1.8940000000000001,0.881,0,3
898637,0,3,222,4,0,1,211,16,6,13,0,1,0,1,3,3,0.259866,2.097503,0.279,2.5905,0,3
898638,1,0,242,12,4,9,227,13,2,9,0,0,0,0,3,4,0.955362,1.0130050000000002,1.251,1.375,3,0
898639,0,6,240,12,5,5,217,15,10,8,0,1,0,1,7,7,0.838186,1.8933900000000001,0.657,2.1195,0,3
898640,0,2,762,6,2,3,212,16,4,13,0,0,0,0,3,3,0.43374,1.3031100000000002,0.6795,2.0700000000000003,0,3
898641,0,0,4716,6,1,6,240,8,1,0,0,0,0,0,0,8,0.521622,0.461144,1.3215,1.2165,1,1
898642,1,0,216,9,1,6,242,13,1,3,0,0,0,0,3,10,0.694551,0.837241,1.182,1.4255,3,0
898643,0,2,230,5,0,5,228,18,4,12,0,0,0,0,0,6,0.434685,1.389102,0.6075,2.0705,0,3
898644,1,1,223,21,6,13,226,14,3,5,0,0,0,0,8,9,1.591325,0.953472,1.7995,0.956,1,1
898645,1,0,222,12,3,8,234,7,1,3,0,0,0,0,4,4,0.926068,0.491383,1.67,0.901,3,0
898646,1,0,217,18,2,11,224,7,3,5,0,0,1,0,7,2,2.154201,0.549971,2.4255,0.40900000000000003,3,0
898647,2,1,227,9,4,7,214,17,5,7,1,0,1,1,2,10,1.518238,1.9793819999999998,1.12,1.6055000000000001,3,0
898648,2,1,211,28,6,17,810,7,2,3,1,0,1,0,11,4,2.906395,0.491383,2.6715,0.225,3,0
898649,0,1,810,23,7,16,230,10,2,5,0,0,1,0,7,5,2.588886,0.7229,2.492,0.3985,0,3
898650,1,2,214,18,4,10,762,22,5,15,0,0,0,0,8,7,1.330514,1.7075559999999999,1.1225,1.6264999999999998,0,3
898651,4,0,228,17,7,10,216,4,1,2,0,0,0,0,7,2,1.2728709999999999,0.28916,2.1385,0.5155,3,0
