ids,names
110,Estac Troyes
94,Rennes
116,Lens
82,Montpellier
108,Auxerre
112,Metz
91,Monaco
81,Marseille
93,Reims
79,Lille
77,Angers
106,Stade Brestois 29
1063,Saint Etienne
99,Clermont Foot
85,Paris Saint Germain
83,Nantes
84,Nice
78,Bordeaux
80,Lyon
95,Strasbourg
97,Lorient
