match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
710656,1,0,42,14,6,6,38,7,1,4,0,0,1,0,8,3,1.875318,0.5872569999999999,2.254,0.511,3,0
710657,1,2,55,19,7,17,71,9,5,4,0,1,0,1,2,5,1.9279089999999999,1.502443,1.6775,1.1045,0,3
710658,1,1,51,14,5,10,34,6,1,4,1,0,1,0,4,2,2.092758,0.534426,2.392,0.438,1,1
710659,1,1,49,25,4,20,44,5,2,3,0,0,0,0,5,2,2.407975,0.42723500000000003,2.5524999999999998,0.3065,1,1
710660,2,0,52,13,6,12,39,4,2,2,0,0,0,0,1,2,1.339123,0.320044,2.2065,0.563,3,0
710661,0,0,45,12,2,8,47,8,0,5,0,0,0,0,4,3,1.068852,0.694448,1.655,1.08,1,1
710662,1,1,63,18,5,10,46,9,3,7,0,0,0,0,8,2,1.494558,0.855999,1.8795000000000002,0.9199999999999999,1,1
710663,0,2,33,5,1,3,50,16,5,12,0,0,0,0,2,4,0.42723500000000003,1.497616,0.5445,2.1905,0,3
710664,1,0,41,9,3,5,66,14,3,8,0,0,0,0,4,6,0.747279,1.1745139999999998,1.0075,1.7285,3,0
710665,3,2,48,7,3,5,40,16,5,12,0,0,0,0,2,4,0.641617,1.497616,0.7605,2.036,3,0
710666,2,0,66,9,5,7,51,6,2,3,0,0,0,0,2,3,0.855999,0.480066,1.6615,0.9380000000000001,3,0
710667,3,3,44,15,9,10,52,18,8,12,0,0,0,0,5,6,1.336065,1.603278,1.2245,1.5895000000000001,1,1
710668,0,3,46,4,3,1,49,16,7,9,0,0,0,0,3,7,0.265684,1.334536,0.4505,2.222,0,3
710669,4,0,40,19,9,16,42,5,3,3,0,0,0,0,3,2,1.873549,0.42723500000000003,2.3465000000000003,0.447,3,0
710670,3,0,50,17,7,12,45,4,1,3,0,0,0,0,5,1,1.5504470000000001,0.374404,2.2525,0.496,3,0
710671,3,3,34,23,9,16,55,10,4,6,0,0,0,0,7,4,2.084873,0.8544700000000001,2.1695,0.6335,1,1
710672,2,1,71,8,4,5,41,17,5,8,0,0,0,0,3,9,0.694448,1.333007,0.8674999999999999,1.8645,3,0
710673,2,1,47,13,4,8,63,18,7,9,0,0,0,0,5,9,1.121683,1.440198,1.121,1.6345,3,0
710674,4,1,38,20,7,15,33,9,3,8,0,0,1,0,5,1,2.681544,0.9103589999999999,2.3845,0.478,3,0
710675,1,0,39,15,5,8,48,8,3,3,0,0,0,0,7,5,1.227345,0.585728,1.865,0.858,3,0
710676,2,0,42,24,6,14,34,9,5,3,0,0,0,0,10,6,2.028984,0.638559,2.2885,0.497,3,0
710677,1,0,55,6,4,5,45,14,5,10,1,0,1,0,1,4,1.39831,1.283234,1.444,1.2945,3,0
710678,0,0,51,20,4,12,63,11,4,7,0,0,0,0,8,4,1.7089400000000001,0.9616609999999999,1.9395,0.8365,1,1
710679,1,0,44,15,4,8,47,12,2,8,0,0,0,0,7,4,1.227345,1.068852,1.4925000000000002,1.2255,3,0
710680,1,1,49,24,6,17,33,3,2,1,1,0,1,0,7,2,3.001588,0.21285300000000001,2.819,0.10300000000000001,1,1
710681,1,2,52,8,3,7,66,10,3,5,0,0,0,0,1,5,0.8031679999999999,0.80011,1.2925,1.3425,0,3
710682,4,2,46,18,8,13,38,17,5,13,0,1,0,1,5,4,1.657638,2.4143310000000002,0.9175,1.8010000000000002,3,0
710683,4,0,40,20,6,15,41,7,3,7,0,0,0,0,5,0,1.87202,0.7503369999999999,2.1175,0.6595,3,0
710684,2,1,50,19,9,13,48,5,3,1,0,0,0,0,6,4,1.710469,0.318515,2.3775,0.423,3,0
710685,0,0,71,14,4,9,39,5,2,4,0,0,0,0,5,1,1.228874,0.481595,1.952,0.763,1,1
710686,1,2,66,9,3,8,50,17,7,10,0,0,0,0,1,7,0.9103589999999999,1.441727,0.9975,1.7235,0,3
710687,1,4,45,8,2,4,40,16,7,10,0,0,0,0,4,6,0.640088,1.388896,0.7829999999999999,1.9185,0,3
710688,1,0,63,15,3,8,52,9,1,4,1,0,1,0,7,5,2.036869,0.6929190000000001,2.2335000000000003,0.5265,3,0
710689,1,2,38,14,6,6,49,8,4,6,0,0,0,0,8,2,1.065794,0.748808,1.5575,1.0975000000000001,0,3
710690,1,1,48,14,6,8,51,9,3,6,0,0,0,0,6,3,1.1745139999999998,0.801639,1.6475,1.03,1,1
