ids,names
224,Guimaraes
810,Vizela
218,Tondela
227,Santa Clara
216,Portimonense
230,Estoril
223,Chaves
234,Pacos Ferreira
222,Boavista
214,Maritimo
240,Arouca
211,Benfica
762,GIL Vicente
215,Moreirense
228,Sporting CP
221,Belenenses
242,Famalicao
212,FC Porto
217,SC Braga
