ids,names
40,Liverpool
48,West Ham
46,Leicester
41,Southampton
66,Aston Villa
49,Chelsea
39,Wolves
51,Brighton
52,Crystal Palace
47,Tottenham
63,Leeds
38,Watford
45,Everton
55,Brentford
33,Manchester United
42,Arsenal
71,Norwich
44,Burnley
50,Manchester City
34,Newcastle
