match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
878080,2,1,541,18,5,8,724,10,5,5,0,0,0,0,10,5,1.37606,0.80547,1.7785,0.9385000000000001,3,0
878081,1,2,536,6,3,5,548,17,9,12,0,0,0,0,1,5,0.630854,1.62755,0.714,2.071,0,3
878082,2,0,530,18,4,7,797,5,1,2,0,0,0,0,11,3,1.3022740000000002,0.365842,2.118,0.5845,3,0
878083,1,1,529,21,6,18,540,4,1,3,0,1,0,1,3,1,2.244882,1.145974,2.078,0.7454999999999999,1,1
878084,1,1,538,17,5,11,536,7,5,3,0,0,0,0,6,4,1.5537640000000001,0.5269360000000001,2.123,0.583,1,1
878085,2,0,546,14,6,9,798,3,0,1,0,0,0,0,5,2,1.27523,0.20474799999999999,2.2325,0.45499999999999996,3,0
878086,2,2,547,16,7,12,728,12,4,7,2,0,2,0,4,5,3.083896,1.04035,2.4865,0.402,1,1
878087,0,0,543,9,5,4,531,10,0,6,0,0,0,0,5,4,0.68803,0.879256,1.1764999999999999,1.5145,1,1
878088,2,0,548,9,2,5,727,11,3,4,0,0,0,0,4,7,0.761816,0.7753380000000001,1.348,1.3205,3,0
878089,0,2,720,14,4,5,541,19,7,15,0,1,0,1,9,4,0.980086,2.686216,0.51,2.3240000000000003,0,3
878090,2,1,533,14,8,9,532,13,4,9,0,0,0,0,5,4,1.27523,1.231576,1.4335,1.369,3,0
878091,1,1,724,12,6,9,723,19,10,11,0,0,0,0,3,8,1.1879220000000001,1.641072,1.069,1.7245,1,1
878092,0,0,531,17,3,6,727,3,1,1,0,0,0,0,11,2,1.184834,0.20474799999999999,2.1959999999999997,0.475,1,1
878093,0,1,530,20,5,15,529,10,2,7,0,0,0,0,5,3,1.97987,0.9530420000000001,2.0585,0.7615000000000001,0,3
878094,1,0,798,13,4,10,720,9,1,5,0,0,0,0,3,4,1.3053620000000001,0.761816,1.736,0.9259999999999999,3,0
878095,2,2,540,12,6,7,547,12,5,8,0,0,0,0,5,4,1.04035,1.114136,1.3155000000000001,1.406,1,1
878096,0,2,723,6,1,5,548,9,6,8,0,0,0,0,1,1,0.630854,0.983174,1.0505,1.62,0,3
878097,1,2,728,15,3,7,543,14,3,8,0,0,0,0,8,6,1.171312,1.201444,1.3445,1.3395,0,3
878098,0,1,797,13,5,7,538,14,7,10,0,0,0,0,6,4,1.084004,1.3490160000000002,1.168,1.57,0,3
878099,2,1,536,11,5,7,546,11,2,8,0,0,0,0,4,3,0.996696,1.070482,1.2954999999999999,1.3895,3,0
878100,0,1,532,11,2,8,724,6,2,5,0,0,0,0,3,1,1.070482,0.630854,1.6915,0.9695,0,3
878101,2,1,533,17,5,10,541,13,3,10,1,1,1,1,7,3,2.229978,2.055362,1.4489999999999998,1.3105,3,0
878102,1,1,538,21,8,12,533,3,1,0,0,0,0,0,9,3,1.8021660000000002,0.130962,2.566,0.2405,1,1
