match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
862971,1,1,108,12,5,7,1063,10,3,6,0,0,0,0,5,4,1.014492,0.8544700000000001,1.5165,1.215,1,1
862972,1,1,1063,19,9,13,108,13,2,3,0,0,1,0,6,10,2.588518,0.849883,2.4065,0.41500000000000004,1,1
718351,0,2,78,10,6,5,99,19,10,16,0,0,0,0,5,3,0.80011,1.873549,0.667,2.068,0,3
718352,1,1,80,17,4,13,106,13,8,9,0,0,0,0,4,4,1.604807,1.176043,1.663,1.0715,1,1
718353,3,3,112,12,5,6,79,17,6,9,0,0,0,0,6,8,0.960132,1.387367,1.0015,1.724,1,1
718354,1,1,91,15,3,10,83,5,1,3,0,0,0,0,5,2,1.336065,0.42723500000000003,2.0545,0.619,1,1
718355,2,3,82,8,1,5,81,21,7,14,0,0,0,0,3,7,0.694448,1.870491,0.598,2.1875,0,3
718356,0,0,84,12,2,9,93,5,0,2,0,0,0,0,3,3,1.123212,0.37287499999999996,2.004,0.6839999999999999,1,1
718357,1,1,94,10,2,5,116,11,6,6,0,0,0,0,5,5,0.80011,0.907301,1.2915,1.3935,1,1
718358,1,1,1063,20,3,10,97,12,3,8,1,0,1,0,10,4,2.478269,1.068852,2.2025,0.6355,1,1
718359,0,2,95,7,1,4,77,9,2,7,0,0,0,0,3,2,0.5872569999999999,0.855999,1.0865,1.5695,0,3
718360,1,2,110,15,7,8,85,12,3,8,0,0,0,0,7,4,1.227345,1.068852,1.448,1.21,0,3
718361,3,0,77,13,6,6,80,8,3,5,0,0,0,0,7,3,1.012963,0.694448,1.606,1.072,3,0
718362,1,1,106,10,5,8,94,6,2,5,0,0,0,0,2,1,0.96319,0.5887859999999999,1.627,0.9884999999999999,1,1
718363,2,0,99,18,8,11,110,6,1,5,0,0,0,0,7,1,1.548918,0.5887859999999999,2.1055,0.726,3,0
718364,2,2,116,22,7,14,1063,12,7,6,0,0,0,0,8,6,1.9233219999999998,0.960132,2.0385,0.764,1,1
718365,0,4,79,11,2,8,84,11,7,8,0,1,0,1,3,3,1.0160209999999998,1.8940699999999997,0.7695,1.972,0,3
718366,1,0,97,2,2,1,91,12,3,8,1,0,1,0,1,4,1.038071,1.068852,1.351,1.3615,3,0
718367,2,2,81,10,2,6,78,8,2,5,0,0,0,0,4,3,0.8544700000000001,0.694448,1.4304999999999999,1.1955,1,1
718368,2,0,83,11,7,7,112,10,5,6,0,0,0,0,4,4,0.9616609999999999,0.8544700000000001,1.4195,1.2590000000000001,3,0
718369,4,2,85,11,5,8,95,8,2,5,0,0,0,0,3,3,1.0160209999999998,0.694448,1.607,1.079,3,0
718370,3,3,93,19,9,12,82,15,5,8,0,0,0,0,7,7,1.656109,1.227345,1.6624999999999999,1.0745,1,1
718371,1,1,78,14,5,6,77,6,3,5,0,0,0,0,8,1,1.065794,0.5887859999999999,1.7475,0.9205,1,1
